score 5242
mec 1
mcc 1
mwc 0
mmc 0
nm 3
ps -1.47045,-2.51435,100,100,100
d 1
u 10 9 10 10 
enemies /|19,4|0,0,-1,-1|0,0|-7338.56,2336.01|2.93007,1.64552|72.8504|60,90,125|60,90,125|0|32|/|23,4|1,0,-1,-1|0,0|11278.5,20300|-0.293984,0.958678|-31.5958|200,250,0.0724281|200,250,250|0|64|/|19,4|2,0,-1,-1|0,0|8044.11,16265.3|4.89232,13.6206|-22.3042|60,90,8.71295|60,90,125|0|32|/|18,4|3,0,-1,-1|0,0|5528.46,11176.6|-0.0640839,0.121661|147.226|30,50,0.154794|30,50,120|0|32|/|19,4|4,0,-1,-1|0,0|9171.22,15912.4|-3.18271,12.0769|-25.5807|60,90,5.80502|60,90,127|1|32|/|4,1|6,0,-1,-1|0,0|-14278.4,14012.7|1.56051,-1.49515|46.0206|30,20,100|30,20,100|0|32|/|1,3|5,2,-1,-1|0,0|-3172.45,-10467.3|0.602483,3.82295|162.658|40,30,100|40,30,100|0|32|
asteroids /|37|47416.8,24877.2|27.0095,22.0045|-176.984|1000,0,0|/|37|-9224.97,-34782|-19.6949,-50.8873|-12.8249|1000,0,0|
