identifier PIRATE_CAPITAL
asset pirate_capital
type 1
size 1024.0
health 11000
shield 2400
energy 2000
inertia 0.002
enginepower 1.75
generatorpower 5000
weapons 19
holdspace 1500.0 1500.0
attachmentpoints |150,0,0|75,129.904,0|-75,129.904,0|-150,-1.31134e-005,0|-75,-129.904,0|75,-129.904,0|300,0,0|150,259.808,0|-150,259.808,0|-300,-2.62268e-005,0|-150,-259.808,0|150,-259.808,0|450,0,0|225,389.711,0|-225,389.711,0|-450,-3.93402e-005,0|-225,-389.711,0|225,-389.711,0|600,0,0|300,519.615,0|-300,519.615,0|-600,-5.24537e-005,0|-300,-519.615,0|300,-519.615,0|
